,AS16RHR_v31,AS16D4HR_v31,AS16RHNR_v31,AS16D4HNR_v31,AS16RHR_v33,AS16D4HR_v33,AS16RHNR_v33,AS16D4HNR_v33
0,0.0,0.0,0.0,1.0303928264031615e-12,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-1.5586469595322125e-13,0.0,-2.4132886371179412e-12,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,9.06632691881031e-12,1.3327078023531863e-12,0.0,-1.2460529155642258e-13
4,0.0,-2.7941304848208517e-13,0.0,-5.364179445974047e-13,8.798250565992133e-12,-9.687971255536539e-13,2.315938609018864e-12,0.0
5,0.0,0.0,1.6356981536016296e-13,1.0410073561709845e-13,0.0,0.0,0.0,0.0
6,9.792181843067994e-14,0.0,0.0,0.0,1.8929001604994324e-12,0.0,3.16112887776039e-14,6.77046844477728e-13
7,2.759130895886118e-13,0.0,0.0,1.7181936132095353e-13,0.0,-3.112352537704406e-12,3.0682277827332613e-13,0.0
8,0.0,0.0,0.0,0.0,1.0206669397616073e-11,-1.3272730694744614e-12,0.0,0.0
9,0.0,5.660744652375025e-13,0.0,1.232187560791165e-13,0.0,0.0,1.2492401653601807e-12,-8.403669272799525e-14
10,0.0,0.0,0.0,0.0,5.071222146408291e-12,0.0,3.763804078926591e-12,0.0
11,-7.853089925702128e-13,0.0,0.0,0.0,0.0,0.0,2.7600718492209384e-13,0.0
12,0.0,0.0,0.0,0.0,-1.5558975702614883e-12,0.0,0.0,0.0
13,0.0,0.0,-1.610422502232963e-12,0.0,0.0,0.0,-3.0999254907081597e-12,0.0
14,0.0,0.0,0.0,3.4954468603453026e-12,2.593881644542035e-13,0.0,3.633651645849604e-12,0.0
15,0.0,-1.1546628079917524e-13,0.0,5.401478653823045e-13,0.0,0.0,8.180349966992143e-13,0.0
16,7.021891500653199e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-1.4945632015215483e-12,0.0,0.0,0.0,0.0,1.4090664970346328e-12,0.0,0.0
19,-3.1702284551105977e-13,1.2957070134327675e-12,0.0,0.0,0.0,1.8518328673531068e-13,-6.267841714493685e-12,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-3.148586997059888e-13,0.0,-9.935120151521582e-13,0.0,1.1976603574954203e-12,0.0,0.0,0.0
22,4.029666416896405e-14,0.0,0.0,6.995244859566603e-13,2.1861636338199627e-13,1.7838430683998067e-12,0.0,0.0
23,0.0,1.963262825973562e-12,0.0,3.397208889735135e-14,0.0,0.0,-1.1226997642356296e-12,2.813176971598564e-12
24,-1.3761846438450769e-12,0.0,0.0,-2.2594275083579145e-12,1.3542683883862484e-12,0.0,0.0,0.0
25,3.82499740221276e-14,0.0,0.0,1.2287601100834861e-12,0.0,0.0,1.6152194502572202e-12,0.0
26,0.0,-1.0963763326229182e-12,1.574245992799577e-12,-5.706701412842146e-13,0.0,1.165083719823912e-12,0.0,-1.1650572920055982e-12
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,-1.4049495359717177e-13,-7.923375861586293e-13,0.0,0.0,0.0,0.0
29,-2.052575867511671e-13,0.0,9.423782617241004e-13,0.0,-2.9364747990189636e-12,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1.6915617051583656e-12,0.0
31,0.0,1.979134404166677e-13,0.0,0.0,0.0,0.0,6.34976074283498e-12,0.0
32,1.4230540074552898e-12,0.0,0.0,0.0,0.0,-8.362814864216297e-13,0.0,0.0
33,0.0,2.465285994907696e-12,-2.658030461402224e-13,0.0,2.405714031349184e-13,0.0,-9.833654031207635e-13,0.0
34,0.0,1.2674892543668077e-12,0.0,0.0,0.0,0.0,0.0,0.0
35,1.5881069065112429e-12,0.0,0.0,2.2180405932690598e-12,5.201940310208661e-13,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,-2.7161689573406063e-12,-1.1577173152558656e-12,0.0
37,-1.1597177512316561e-12,-7.988606754058938e-13,0.0,0.0,0.0,0.0,-7.147004476142105e-13,0.0
