,simname,D,Rotation,no_bound,mean_fi_fj (pN2),error_corr (pN2),correlation_sample_size,mean_variance (pN2),error_variance (pN2),variance_sample_size
0,AS16RHR_v3,0,1,2,-0.5572486320191632,0.03296502180612281,10000,2.6141488969061015,0.12497656545859671,10000
1,AS16RHR_v3,0,1,3,-0.3846255014649728,0.025683532705406444,10000,3.885528803356417,0.20754870133114997,4914
2,AS16RHR_v3,0,1,4,-0.45991973409218573,0.051441754231294524,5172,5.773529149695717,0.7068489090381935,862
3,AS16D4HR_v3,1,1,2,0.00037664411491917187,0.0022197090333841143,10000,0.2563498222886691,0.007925891672578955,10000
4,AS16D4HR_v3,1,1,3,-0.0033099591316800006,0.003682804606075124,10000,0.4481045110831606,0.013085674765711283,10000
5,AS16D4HR_v3,1,1,4,-0.01655709461116019,0.006826403024086996,10000,0.7161805247827528,0.02926182677710532,6061
6,AS16RHNR_v3,0,0,2,-0.6699901196663409,0.0341742479802972,10000,1.0291570026939894,0.04073336554225151,10000
7,AS16RHNR_v3,0,0,3,-0.5753517128466941,0.0354608060993123,10000,1.8041706138075875,0.07332729587431505,4572
8,AS16RHNR_v3,0,0,4,-0.5880473006958542,0.07024876123845596,4488,2.564543631937262,0.2492857400424718,748
9,AS16D4HNR_v3,1,0,2,-0.007765690428895548,0.0019730618786026866,10000,0.20681133396097104,0.007057510225357777,10000
10,AS16D4HNR_v3,1,0,3,-0.013277012493389978,0.002679925487596162,10000,0.33309535367248366,0.010266344901323903,10000
11,AS16D4HNR_v3,1,0,4,-0.008413018483502753,0.0022975857804347086,10000,0.3471598882938428,0.012691565980466337,5306
