,ASB1n1v2,ASB1n2v2,ASB1n3v2,ASB1n4v2,ASB1n5v2,,,,
0,1.464368,4.661708,1.313787,12.85303,16.743314,,,,
1,5.80792,0.322749,1.597313,5.09641,10.983158,,,,Each column gives binding time for 10000 independent motors.
2,9.246922,2.258494,5.467083,11.532753,2.509518,,,,Take columnwise mean and invert to get the average on-rate for each number of bound motors (n)
3,2.226925,35.639136,23.68943,9.122267,5.926012,,,,
4,1.198065,8.496837,10.091489,4.200393,2.793477,,,,
5,5.121273,8.324893,7.400934,11.945968,1.695794,,,,
6,35.93309,1.92851,4.156287,0.959817,2.886581,,,,
7,1.706343,4.020171,18.044949,0.88365,6.789531,,,,
8,1.160555,3.310243,20.224801,14.577828,1.816191,,,,
9,2.058691,4.132511,1.30794,12.395427,1.160956,,,,
10,4.404198,0.337823,4.248149,7.426157,3.912052,,,,
11,6.089866,24.677643,7.474018,1.208871,1.710978,,,,
12,1.201558,7.960221,3.657708,3.16611,0.732396,,,,
13,2.749134,0.327039,0.68859,8.720533,1.670726,,,,
14,3.516793,7.957122,5.368481,1.189699,10.836495,,,,
15,13.703865,9.577311,11.013175,0.673279,25.561677,,,,
16,12.637931,5.888689,2.796591,0.527362,1.620822,,,,
17,18.740806,0.880096,0.643113,16.814022,3.034391,,,,
18,3.400839,3.203714,22.619466,1.475678,22.383844,,,,
19,16.318405,0.038728,14.083503,17.700058,2.192733,,,,
20,1.43388,1.751952,13.454968,6.602318,0.059098,,,,
21,37.581184,0.20536,0.929551,7.161396,4.544306,,,,
22,7.389857,2.813505,20.223274,3.857087,12.190685,,,,
23,16.561637,1.195575,6.201508,30.967979,5.090489,,,,
24,21.143216,1.712366,52.427157,3.826922,4.782366,,,,
25,39.747199,3.946304,4.574528,12.823421,8.505007,,,,
26,2.946012,8.649675,8.611943,4.961599,0.643711,,,,
27,4.49868,4.077727,5.917955,0.628861,2.240899,,,,
28,5.389901,14.184431,21.411239,9.150501,10.437984,,,,
29,2.405599,3.080815,1.921326,2.027769,7.372177,,,,
30,10.697929,2.840016,9.796409,11.394539,6.240167,,,,
31,2.628023,0.084482,9.838264,1.249901,13.592713,,,,
32,0.340681,15.416694,0.115625,2.701575,3.322469,,,,
33,14.51822,4.840638,4.614338,3.912306,3.73969,,,,
34,16.350998,0.951689,0.616244,8.150957,2.000322,,,,
35,6.898311,13.840589,7.33268,8.402961,3.683784,,,,
36,0.069621,25.72416,3.664561,4.20143,30.321089,,,,
37,21.825528,1.132274,0.72318,2.993321,4.148935,,,,
38,3.178276,2.145381,15.91603,4.800969,8.332324,,,,
39,2.859177,4.432646,10.35069,1.472795,4.808757,,,,
40,12.194894,29.271966,28.289094,3.859889,20.361298,,,,
41,0.874723,23.895235,3.769857,4.227292,12.750572,,,,
42,10.007112,9.774755,2.447661,9.486892,8.973178,,,,
43,4.082459,11.968106,8.036808,1.265736,0.494552,,,,
44,2.362745,0.385375,11.038723,14.968064,6.359577,,,,
45,4.455403,4.071034,5.572973,12.510988,4.329871,,,,
46,7.704651,2.161741,0.462807,0.235462,5.717966,,,,
47,16.465045,12.542894,5.725547,6.106174,48.663583,,,,
48,4.306191,0.031173,2.14358,3.944667,0.807919,,,,
49,8.183541,6.303326,3.016818,3.788661,10.00356,,,,
50,1.276252,15.917419,1.46615,1.29174,24.71828,,,,
51,7.850991,9.682839,6.444904,16.081607,13.949552,,,,
52,0.969607,7.640555,15.619386,21.086445,19.153309,,,,
53,5.654747,7.299894,4.598214,4.356491,29.148628,,,,
54,2.928361,2.6847,5.041451,24.400833,9.118967,,,,
55,5.620504,2.45617,5.406837,0.62897,7.570653,,,,
56,0.126548,18.893699,4.067782,9.137252,0.967381,,,,
57,13.920328,7.969223,0.074599,2.029579,5.110425,,,,
58,10.264347,14.038245,11.121181,16.6409,18.701708,,,,
