set,xlabel,D (um2s-1),[ATP] (M),v0 (m/s),av_bound,bound_error,mean_run (m),runerror (m),mean_lifetime (s),lifetimeerror (s)
N=4 High [ATP],D0,0.0,0.002,8e-07,1.19,0.003651111,8.68e-07,6.64e-08,1.093890215,0.08180131
N=4 High [ATP],D2,0.01,0.002,8e-07,1.233413174,0.003680751,9.67e-07,8.33e-08,1.23679183,0.104390756
N=4 High [ATP],D4,1.0,0.002,8e-07,1.334360465,0.004572168,9.98e-07,7.41e-08,1.26421241,0.093829815
N=4 Low [ATP],D0,0.0,4.9e-06,8e-08,1.647882478,0.0009567089999999999,1.55e-06,1.75e-07,19.37361968,2.200076422
N=4 Low [ATP],D2,0.01,4.9e-06,8e-08,2.259075854,0.0009135489999999999,3.94e-06,3.7799999999999997e-07,49.40414937,4.778045522
N=4 Low [ATP],D4,1.0,4.9e-06,8e-08,2.3827063319999997,0.00094366,3.93e-06,3.07e-07,48.92304229,3.813976691
N=16 High [ATP],D0,0.0,0.002,8e-07,1.9130792680000002,0.0047055940000000004,1.67e-06,1.8600000000000002e-07,2.09089499,0.234172427
N=16 High [ATP],D2,0.01,0.002,8e-07,2.152142857,0.0061715319999999995,1.79e-06,1.83e-07,2.246046185,0.228964637
N=16 High [ATP],D4,1.0,0.002,8e-07,2.388507157,0.0056248259999999994,2.24e-06,2.12e-07,2.873832095,0.270851811
N=4 Mid [ATP],D0,0.0,0.0001,5.555555555555554e-07,1.2118716648000527,0.002794971385958691,8.332737376304044e-07,7.266475769735639e-08,1.5127150650051255,0.12981851788692236
N=16 Mid [ATP],D0,0.0,0.0001,5.555555555555554e-07,2.237229437229437,0.03335619869913913,2.9167320788311647e-06,9.946095504973247e-07,5.2333622505549195,1.781675794065088
N=4 Mid [ATP],D2,0.01,0.0001,5.555555555555554e-07,1.2359765051395006,0.002613829862497289,9.326547359536587e-07,8.879036018969027e-08,1.6976485049944332,0.15766046453190835
N=16 Mid [ATP],D2,0.01,0.0001,5.555555555555554e-07,2.657448145820239,0.03583397874333684,4.112432358282303e-06,4.7215694832909613e-07,7.407841083556751,0.8539530759947479
N=4 Mid [ATP],D4,1.0,0.0001,5.555555555555554e-07,1.2982441812984893,0.0028647497527393502,9.957182023513537e-07,7.334322634061607e-08,1.8316581450424576,0.13429027868520987
N=16 Mid [ATP],D4,1.0,0.0001,5.555555555555554e-07,2.706040268456376,0.03878408981983704,3.795374098434481e-06,3.2338654039910195e-07,6.862895114582102,0.5830081560856899
